lon,lat,vs30,z1pt0,z2pt5
174.1384237,-41.82739873999999,366.2634,0.305,4.475
170.32675,-43.315994,436.46747,0.055,0.325
170.359029,-43.261164,309.74628,0.145,0.325
167.9470312,-45.892427899999994,855.1064,0.065,0.675
172.8003026,-42.70118655,240.07202,0.075,0.375
169.017562,-44.82702135000001,887.0987,0.045,0.275
169.1429644,-44.69458812,444.25336,0.205,0.275
171.61101150000002,-43.83733232000001,239.72366,0.975,2.125
173.0535962,-42.61945518,431.0208,0.485,1.175
170.7371542,-43.07155021999999,482.71674,0.065,0.275
173.3509046,-41.62023192,240.65494,0.205,0.225
170.7367542,-43.07435028999999,484.85938,0.065,0.275
167.9888255,-46.83180552,859.4415,0.055,0.875
173.8757409,-41.71491545,919.70135,0.045,1.125
174.213825,-41.74901708,414.85077,0.095,4.975
173.8154,-42.14457,735.34753,0.055,1.575
172.67323,-43.511979999999994,207.92435,0.625,2.325
173.92164540000002,-40.801714610000005,775.98914,0.055,0.325
173.821803,-41.857299000000005,775.98914,0.055,1.125
172.7098333,-43.6062917,575.2924,0.025,1.225
173.9428929,-41.42938895,859.4415,0.035,0.275
170.40645,-43.29065,367.5008,0.045,0.275
168.40646,-44.86441000000001,442.1752,0.065,0.275
171.2043,-42.457849,242.80232,0.075,1.475
172.7037,-41.42894999999999,775.98914,0.065,2.125
167.76512,-46.28679699999999,735.34753,0.065,0.475
169.472766,-43.704499,238.91142,0.075,0.325
166.68593,-45.68759999999999,999.41046,0.045,1.175
166.951482,-45.26578799999999,1045.6705,0.045,1.325
174.1372917,-41.66382069,432.8696,0.685,2.225
172.79019,-42.214960000000005,735.34753,0.045,0.325
173.586376,-41.59547737,775.98914,0.045,0.275
170.7359041,-43.07472029999999,484.85938,0.065,0.275
174.076946,-41.658784999999995,239.96489,0.525,2.175
173.41415,-42.06049999999998,735.34753,0.065,1.275
